,ID,Text,Racial Justice,count,date
58844,1268319759025700864,RT @firefighter89: The Wednesday @FontanelleSeed #FinalBell with @ArlanFF101 with @INTLFCStone  https://t.co/APOlZsVlKN,False,12,2020-06-03
58843,1268321586060439553,"A global market requires a global partner with an international network of insights, resources, &amp; expertise. For the last 30 yrs, the Metals Team at INTL FCStone Ltd has delivered on all of these. See how we can help you! #preciousmetals #basemetals
https://t.co/pFp8A9IrXh",False,13,2020-06-03
58842,1268351779969937417,"We offer price risk management for a variety of #commodities. Check out Featured Insights page to see the services we offer and how we could help you! #oatt #oott  #grains #dairy #wheat #corn #cattle #oil #livestock #natgas #rbob #ag
https://t.co/uu9xF9fGMe",False,1,2020-06-04
58841,1268525446318247937,"Rhona O'Connell (@REOC13), Head of Market Analysis, EMEA &amp; Asia for INTL FCStone Ltd. participates as a panelist in this follow up webinar hosted by #DMCC to discuss and debate possible solutions to issues facing the #gold market during the pandemic. 

https://t.co/JxomVzv5rg",False,2,2020-06-04
58840,1268531662310322182,It's time to answer @ArlanFF101's poll questions before his June 1th #WASDE webinar! Have you registered yet? https://t.co/w3GZGUnEkk  #oatt,False,3,2020-06-04
58839,1268559383316873218,Hear from our experts and get updated analysis at the NY Week Webinar Conference: #COVID_19 – Impacts on #Sugar and #Energy Markets: What to Expect? on June 4 at 3pm (EST) – Register now! https://t.co/i3Lp0pBKSd,False,4,2020-06-04
58838,1268580948318269447,"ICYMI: Expert market commentary by @ArlanFF101 Chief Commodities Economist for INTL FCStone Financial Inc. – FCM Division is quoted by @AgWebEditor. #oatt #soybeans

 https://t.co/Y9Ttv03lLS",False,5,2020-06-04
58837,1268590840101793793,The #Grain Risk Academy 101 Virtual Seminar Series will explore everything from the basics of grain origination to practical applications. Join us Thursday afternoons at 3pm all June! #oatt #grains https://t.co/xxqDvspQqR,False,6,2020-06-04
58836,1268608486159478785,".@RappaportJacob, Managing Director - Head of Equities for INTL FCStone Financial Inc. was interviewed by @finopsreport on overcoming the challenges to best execution during #COVID19.

https://t.co/D6jUCcm6S3",False,7,2020-06-04
58835,1268616774888521728,RT @RappaportJacob: Thank you @finopsreport for shedding light on this issue. Our @INTL_Securities team steps up for our clients in uncerta…,False,8,2020-06-04
58834,1268623555719163904,#Covid19 is still in the headlines as many countries begin to re-open their economies. The pandemic has impacted all industries. Sign up for @ArlanFF101’s June 11th to see what recovery progress is being made in the #ag industry. #oatt https://t.co/w3GZGU62VK,False,9,2020-06-04
58833,1268636165130850304,"Expert market commentary by @VincentDeluard, Global Macro Strategist for the Broker Dealer Division of INTL FCStone Financial Inc. is featured by @TheEconomist.  #stockmarket #ESG

https://t.co/26eN62ZJkI",False,10,2020-06-04
58832,1268649979989626881,"At a time when many prime brokers are contracting their operations, INTL FCStone’s Prime Brokerage team are committing their knowledge and resources to fund managers’ success.  #investmentfunds #primebrokerage https://t.co/XMz3QID4zU",False,11,2020-06-04
58831,1268657313835036672,"RT @RURALRADIO147: Tonight on #CommodityWrap: Guest #market analysts @ArlanFF101 with @INTLFCStone, and @GrainsGuru of @DanielsTrading. Tun…",False,12,2020-06-04
58830,1268681437093474305,"We believe that every company—regardless of size, regardless of industry, regardless of how long they’ve been in business—deserves access to the best advice, the best products, and the best, most efficient market access. https://t.co/GvmfoAg0Kz",False,13,2020-06-04
58829,1268904961414479873,Don't forget to visit our Media Room to catch up on all things INTL FCStone! #news #commodities #securities #equities #financialservices https://t.co/hXcJnHuwFw,False,1,2020-06-05
58828,1268921816606740480,Achieve best execution and simplify the #algo selection process with StoneX Select Trading Optimization services. Contact our team to discover what is possible. #investments #algotrading https://t.co/b12sudMVzV https://t.co/TA5uTFM42E,False,2,2020-06-05
58827,1268953266240606214,Curious about what we do or how we could help you? Check out our Featured Insights page to learn more about the products and services we offer! #commodities #securities #equities #globalpayments #interestrates https://t.co/ir4rtemZmt,False,3,2020-06-05
